participant,word,color,congruent,incongruent,CN,GC,corrAns,CN.rt,GC.rt,Participant ID,Gender,Age,Ethnicity,Dolls,STEM,Barbie,Leader,Assertiveness,Language
966477,grandpa,pink,0.0,1.0,1.0,0.0,b,0.8488202189982985,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,aunt,blue,0.0,1.0,1.0,0.0,b,0.8710183489965857,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,daughter,pink,1.0,0.0,1.0,0.0,p,0.8950977490021614,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,damsel,blue,0.0,1.0,1.0,0.0,b,0.7979020290003973,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,female,pink,1.0,0.0,1.0,0.0,p,0.7738527999972575,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,guy,blue,1.0,0.0,1.0,0.0,b,0.7845053100027144,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,uncle,blue,1.0,0.0,1.0,0.0,b,0.9364760250027756,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,handsome,blue,1.0,0.0,1.0,0.0,b,0.7964949660017737,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,son,blue,1.0,0.0,1.0,0.0,b,0.7962502459995449,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,maid,blue,0.0,1.0,1.0,0.0,b,0.736112888000207,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,mother,blue,0.0,1.0,0.0,1.0,f,,0.9880471770011354,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,wife,blue,0.0,1.0,0.0,1.0,f,,0.6310859870063723,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,aunt,pink,1.0,0.0,0.0,1.0,f,,0.6040805309967254,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,boys,pink,0.0,1.0,0.0,1.0,m,,0.6485964039966348,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,guy,blue,1.0,0.0,0.0,1.0,m,,0.5961335179963498,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,daughter,blue,0.0,1.0,0.0,1.0,f,,0.5864496750000399,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,madam,pink,1.0,0.0,0.0,1.0,f,,0.5581291470007272,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,dad,pink,0.0,1.0,0.0,1.0,m,,0.6509150910060271,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,damsel,pink,1.0,0.0,0.0,1.0,f,,0.8944495549949352,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,female,blue,0.0,1.0,0.0,1.0,f,,0.664697314001387,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,gentleman,pink,0.0,1.0,0.0,1.0,m,,0.7252613509990624,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,lady,blue,0.0,1.0,0.0,1.0,f,,0.7051312809999217,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,sister,pink,1.0,0.0,0.0,1.0,f,,0.6132919039955596,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,uncle,blue,1.0,0.0,0.0,1.0,m,,0.6584702690015547,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,girls,pink,1.0,0.0,0.0,1.0,f,,0.602756918000523,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,man,blue,1.0,0.0,0.0,1.0,m,,0.6564542389969574,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,father,blue,1.0,0.0,0.0,1.0,m,,0.6300217870011693,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
